ID,age,job,marital,education,defaultnew,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,month_num
32,3,0,1,1,0,39,1,1,5,1,1,-1,0,3,5
33,3,1,1,1,0,0,1,0,5,1,1,-1,0,3,5
34,3,4,1,2,0,10635,1,0,5,3,1,-1,0,3,5
35,3,9,0,1,0,63,1,0,5,1,1,-1,0,3,5
36,2,1,1,1,0,-7,1,0,5,3,1,-1,0,3,5
37,3,9,1,1,0,-3,0,0,5,3,1,-1,0,3,5
38,0,0,0,1,0,506,1,0,5,3,1,-1,0,3,5
39,0,0,2,1,0,0,1,0,5,0,1,-1,0,3,5
40,1,7,0,1,0,2586,1,0,5,0,1,-1,0,3,5
41,3,4,1,1,0,49,1,0,5,0,2,-1,0,3,5
42,3,1,1,3,0,104,1,0,5,2,1,-1,0,3,5
43,3,5,1,1,0,529,1,0,5,3,1,-1,0,3,5
44,3,5,1,3,0,96,1,0,5,3,1,-1,0,3,5
45,0,0,2,0,0,-171,1,0,5,1,1,-1,0,3,5
46,3,6,1,2,0,-364,1,0,5,3,1,-1,0,3,5
47,1,9,1,1,0,0,1,0,5,1,2,-1,0,3,5
48,3,9,0,1,0,0,0,0,5,0,1,-1,0,3,5
49,0,4,2,2,0,0,1,0,5,3,1,-1,0,3,5
50,3,1,1,1,0,1291,1,0,5,1,1,-1,0,3,5
51,1,4,0,2,0,-244,1,0,5,1,1,-1,0,3,5
52,0,4,1,2,0,0,1,0,5,0,1,-1,0,3,5
53,1,0,2,1,0,-76,1,0,5,3,1,-1,0,3,5
54,2,9,2,1,0,-103,1,1,5,0,1,-1,0,3,5
55,0,2,2,2,0,243,0,1,5,0,1,-1,0,3,5
56,0,4,2,2,0,424,1,0,5,0,1,-1,0,3,5
57,1,1,1,3,0,306,1,0,5,2,1,-1,0,3,5
58,1,1,2,3,0,24,1,0,5,1,1,-1,0,3,5
59,1,7,1,0,0,179,1,0,5,3,1,-1,0,3,5
60,0,0,1,2,0,0,1,0,5,0,1,-1,0,3,5
61,3,9,0,1,0,989,1,0,5,3,1,-1,0,3,5
62,3,1,1,0,0,249,1,0,5,0,1,-1,0,3,5
63,0,7,1,1,0,790,1,0,5,3,1,-1,0,3,5
64,3,1,1,3,0,154,1,0,5,3,1,-1,0,3,5
65,3,4,1,2,0,6530,1,0,5,2,1,-1,0,3,5
66,3,5,1,2,0,100,0,0,5,3,1,-1,0,3,5
67,3,4,0,2,0,59,1,0,5,1,1,-1,0,3,5
68,3,9,1,1,0,1205,1,0,5,0,2,-1,0,3,5
69,0,1,2,1,0,12223,1,1,5,0,1,-1,0,3,5
70,3,1,1,1,0,5935,1,1,5,1,1,-1,0,3,5
71,0,7,1,1,0,25,1,1,5,0,1,-1,0,3,5
72,3,4,1,1,0,282,1,1,5,0,1,-1,0,3,5
73,3,1,1,0,0,23,1,0,5,1,1,-1,0,3,5
74,1,9,1,1,0,1937,1,0,5,1,1,-1,0,3,5
75,3,9,1,1,0,384,1,0,5,0,1,-1,0,3,5
76,1,1,1,1,0,582,0,1,5,1,1,-1,0,3,5
77,3,7,0,1,0,91,0,0,5,3,1,-1,0,3,5
78,3,7,0,1,0,0,1,1,5,1,1,-1,0,3,5
79,3,7,0,1,1,1,1,0,5,1,1,-1,0,3,5
80,1,0,2,1,0,206,1,0,5,1,1,-1,0,3,5
81,1,7,0,1,0,164,0,0,5,1,1,-1,0,3,5
82,1,9,2,1,0,690,1,0,5,2,1,-1,0,3,5
83,3,0,1,1,0,2343,1,0,5,3,1,-1,0,3,5
84,1,6,1,2,0,137,1,1,5,1,1,-1,0,3,5
85,3,1,1,0,0,173,1,0,5,3,2,-1,0,3,5
86,3,0,1,1,0,45,0,0,5,3,1,-1,0,3,5
87,1,9,1,1,0,1270,1,0,5,3,1,-1,0,3,5
88,1,4,0,1,0,16,1,1,5,1,2,-1,0,3,5
89,3,5,1,1,0,486,1,0,5,0,2,-1,0,3,5
90,1,4,2,1,0,50,0,0,5,2,1,-1,0,3,5
91,0,9,1,1,0,152,1,1,5,1,2,-1,0,3,5
92,3,0,1,1,0,290,1,0,5,3,1,-1,0,3,5
93,3,1,1,3,0,54,1,0,5,1,1,-1,0,3,5
94,3,2,0,1,0,-37,0,0,5,0,1,-1,0,3,5
95,0,4,1,2,0,101,1,1,5,3,1,-1,0,3,5
96,3,1,1,1,0,383,0,0,5,1,1,-1,0,3,5
97,3,5,1,2,0,81,1,0,5,2,1,-1,0,3,5
98,1,9,1,1,0,0,1,0,5,1,1,-1,0,3,5
99,1,4,1,2,0,229,1,0,5,1,1,-1,0,3,5
100,1,1,1,1,0,-674,1,0,5,1,1,-1,0,3,5
101,3,1,1,0,0,90,0,0,5,0,1,-1,0,3,5
102,3,1,1,0,0,128,1,0,5,1,1,-1,0,3,5
103,3,1,1,0,0,179,1,0,5,2,3,-1,0,3,5
104,2,9,2,2,0,0,1,0,5,3,1,-1,0,3,5
105,1,1,1,1,0,54,1,0,5,1,1,-1,0,3,5
106,1,9,1,2,0,151,1,0,5,1,1,-1,0,3,5
107,0,0,1,1,0,61,0,1,5,2,1,-1,0,3,5
108,3,5,2,1,0,30,1,0,5,3,1,-1,0,3,5
109,1,4,1,2,0,523,1,0,5,3,2,-1,0,3,5
110,0,7,0,1,0,31,1,0,5,1,1,-1,0,3,5
111,1,9,0,1,0,79,0,0,5,0,1,-1,0,3,5
112,3,6,1,0,0,-34,1,1,5,1,2,-1,0,3,5
113,0,1,1,0,0,448,1,0,5,1,1,-1,0,3,5
114,3,5,0,0,0,81,1,0,5,0,1,-1,0,3,5
115,1,1,1,1,0,144,1,0,5,1,2,-1,0,3,5
116,1,0,1,1,0,351,1,0,5,3,1,-1,0,3,5
117,0,4,2,2,0,-67,1,0,5,3,1,-1,0,3,5
118,3,4,0,2,0,262,0,0,5,0,1,-1,0,3,5
119,3,9,1,0,0,0,0,0,5,2,1,-1,0,3,5
120,3,9,0,3,0,56,1,0,5,3,1,-1,0,3,5
121,3,1,1,1,0,26,1,0,5,2,1,-1,0,3,5
122,0,0,1,3,0,3,1,0,5,0,3,-1,0,3,5
123,1,7,1,1,0,41,1,1,5,0,2,-1,0,3,5
124,3,9,1,2,0,7,0,1,5,0,1,-1,0,3,5
125,0,9,2,1,0,105,1,0,5,1,2,-1,0,3,5
126,0,0,2,1,0,818,1,1,5,2,1,-1,0,3,5
127,0,7,1,1,0,-16,1,1,5,2,1,-1,0,3,5
128,0,1,1,1,0,0,1,0,5,0,1,-1,0,3,5
129,3,7,1,1,0,2476,1,0,5,3,1,-1,0,3,5
130,3,4,1,3,0,1185,0,0,5,3,1,-1,0,3,5
131,0,0,2,1,0,217,1,0,5,3,1,-1,0,3,5
132,0,9,2,1,0,1685,1,0,5,1,1,-1,0,3,5
133,3,0,2,1,0,802,1,1,5,2,2,-1,0,3,5
134,2,10,2,2,0,0,1,0,5,0,2,-1,0,3,5
135,2,1,1,1,0,94,1,0,5,1,1,-1,0,3,5
136,0,9,2,1,0,0,1,0,5,0,1,-1,0,3,5
137,1,7,2,3,0,0,0,0,5,2,1,-1,0,3,5
138,0,1,1,1,0,517,1,0,5,3,1,-1,0,3,5
139,1,1,1,1,0,265,1,0,5,3,1,-1,0,3,5
140,3,3,0,0,0,947,1,0,5,0,1,-1,0,3,5
141,0,6,2,1,0,3,1,0,5,1,1,-1,0,3,5
142,3,10,1,2,0,42,0,0,5,2,1,-1,0,3,5
143,0,1,1,1,0,37,1,0,5,1,1,-1,0,3,5
144,3,1,1,1,0,57,1,0,5,2,1,-1,0,3,5
145,0,7,1,1,0,22,1,0,5,2,1,-1,0,3,5
146,3,1,0,0,0,8,1,0,5,0,2,-1,0,3,5
147,1,10,1,1,0,293,1,0,5,1,1,-1,0,3,5
148,1,7,1,0,0,3,1,0,5,1,2,-1,0,3,5
149,3,1,1,0,0,348,1,0,5,3,2,-1,0,3,5
150,3,1,1,3,0,-19,1,0,5,0,2,-1,0,3,5
151,2,8,2,1,0,0,1,0,5,3,2,-1,0,3,5
152,1,4,1,2,0,-4,1,0,5,3,1,-1,0,3,5
153,1,4,1,1,0,18,1,0,5,2,1,-1,0,3,5
154,3,9,1,0,0,139,0,0,5,0,2,-1,0,3,5
155,1,7,1,1,0,0,1,0,5,0,2,-1,0,3,5
156,3,1,1,3,0,1883,1,0,5,2,1,-1,0,3,5
157,3,5,0,1,0,216,1,0,5,1,1,-1,0,3,5
158,3,1,1,1,0,782,1,0,5,2,3,-1,0,3,5
159,1,1,1,1,0,904,1,0,5,0,2,-1,0,3,5
160,1,7,1,3,0,1705,1,0,5,0,1,-1,0,3,5
161,1,9,2,2,0,47,1,0,5,1,1,-1,0,3,5
162,1,7,2,1,0,176,1,0,5,1,2,-1,0,3,5
163,1,1,1,1,0,1225,1,0,5,3,5,-1,0,3,5
164,1,9,1,1,0,86,1,0,5,1,1,-1,0,3,5
165,2,0,2,1,0,82,1,0,5,1,1,-1,0,3,5
166,3,4,1,2,0,271,1,0,5,2,1,-1,0,3,5
167,3,9,1,1,0,1378,1,0,5,1,1,-1,0,3,5
168,3,0,1,2,0,184,0,0,5,3,2,-1,0,3,5
169,3,1,1,0,0,0,0,0,5,1,3,-1,0,3,5
170,0,1,1,1,0,0,1,0,5,3,1,-1,0,3,5
171,1,7,1,1,0,1357,1,1,5,1,1,-1,0,3,5
172,3,2,1,3,0,19,1,0,5,1,1,-1,0,3,5
173,0,5,2,0,0,434,0,0,5,0,1,-1,0,3,5
174,3,0,0,1,0,92,1,0,5,0,1,-1,0,3,5
175,3,0,0,1,0,1151,1,0,5,3,1,-1,0,3,5
176,1,10,1,1,0,41,1,0,5,0,2,-1,0,3,5
177,0,9,1,1,0,51,1,0,5,2,2,-1,0,3,5
178,3,7,1,1,0,214,1,0,5,3,2,-1,0,3,5
179,3,4,1,1,0,1161,1,0,5,3,1,-1,0,3,5
180,0,7,1,2,0,37,1,0,5,1,1,-1,0,3,5
181,0,9,0,1,0,787,1,0,5,3,2,-1,0,3,5
182,0,7,1,1,0,59,1,0,5,3,1,-1,0,3,5
183,0,9,1,1,0,253,1,0,5,3,1,-1,0,3,5
184,0,0,1,2,0,211,1,0,5,0,2,-1,0,3,5
185,3,5,1,0,0,235,1,0,5,0,1,-1,0,3,5
186,1,7,0,3,0,4384,1,0,5,1,1,-1,0,3,5
187,3,4,1,1,0,4080,0,0,5,0,1,-1,0,3,5
188,0,1,2,1,0,53,1,1,5,3,1,-1,0,3,5
189,0,4,2,2,0,0,1,0,5,3,1,-1,0,3,5
190,3,5,1,1,0,2127,1,0,5,0,1,-1,0,3,5
191,0,4,1,2,0,377,1,0,5,1,1,-1,0,3,5
192,3,4,1,2,0,73,1,0,5,0,2,-1,0,3,5
193,1,0,1,1,0,445,1,0,5,2,1,-1,0,3,5
194,0,1,1,1,0,243,1,0,5,1,1,-1,0,3,5
195,0,1,2,1,0,307,1,0,5,1,2,-1,0,3,5
196,0,7,1,1,0,155,1,0,5,1,1,-1,0,3,5
197,3,9,0,2,0,173,0,1,5,2,1,-1,0,3,5
198,1,4,1,2,0,400,1,0,5,1,1,-1,0,3,5
199,3,1,0,0,0,1428,1,0,5,2,2,-1,0,3,5
200,1,0,1,1,0,219,1,0,5,3,1,-1,0,3,5
201,1,6,1,2,0,7,1,0,5,1,1,-1,0,3,5
202,1,1,1,1,0,575,1,0,5,3,1,-1,0,3,5
203,0,8,2,3,0,298,1,0,5,3,2,-1,0,3,5
204,0,7,1,1,0,0,1,0,5,3,1,-1,0,3,5
205,3,7,1,1,0,5699,1,0,5,3,2,-1,0,3,5
206,1,4,1,2,0,176,1,1,5,2,1,-1,0,3,5
207,1,4,1,2,0,517,1,0,5,1,1,-1,0,3,5
208,1,7,2,3,0,257,1,0,5,3,1,-1,0,3,5
209,1,5,1,1,0,56,1,0,5,1,1,-1,0,3,5
210,0,1,1,1,0,-390,1,0,5,1,1,-1,0,3,5
211,3,5,1,1,0,330,1,0,5,1,2,-1,0,3,5
212,3,3,0,0,0,195,0,0,5,3,2,-1,0,3,5
213,0,7,1,1,0,301,1,0,5,1,1,-1,0,3,5
214,3,1,1,0,0,-41,1,0,5,1,1,-1,0,3,5
215,1,9,1,2,0,483,1,0,5,0,1,-1,0,3,5
216,1,11,1,3,0,28,0,0,5,3,2,-1,0,3,5
217,3,10,1,3,0,13,0,0,5,3,3,-1,0,3,5
218,1,3,1,0,0,965,0,0,5,0,1,-1,0,3,5
219,1,4,1,2,0,378,1,1,5,0,2,-1,0,3,5
220,1,10,1,1,0,219,1,0,5,3,1,-1,0,3,5
221,2,1,1,0,0,324,1,0,5,0,1,-1,0,3,5
222,0,2,0,1,0,-69,1,0,5,1,1,-1,0,3,5
223,3,5,1,1,0,0,0,1,5,0,1,-1,0,3,5
224,1,9,0,3,0,205,1,0,5,3,1,-1,0,3,5
225,1,1,1,0,0,278,1,0,5,0,2,-1,0,3,5
226,3,4,1,3,0,1065,1,0,5,1,3,-1,0,3,5
227,0,4,2,2,0,34,1,0,5,2,1,-1,0,3,5
228,0,1,1,3,0,1033,0,0,5,1,2,-1,0,3,5
229,3,7,0,1,0,1467,1,0,5,0,1,-1,0,3,5
230,1,1,1,0,0,-12,1,0,5,2,1,-1,0,3,5
231,0,7,1,1,0,388,1,0,5,3,2,-1,0,3,5
232,3,2,1,1,0,294,1,0,5,3,2,-1,0,3,5
233,3,1,1,3,0,1827,0,0,5,0,1,-1,0,3,5
234,3,1,1,0,0,627,1,0,5,1,1,-1,0,3,5
235,1,1,1,0,0,25,1,0,5,2,1,-1,0,3,5
236,3,0,0,1,0,315,1,0,5,1,2,-1,0,3,5
237,0,1,1,0,0,0,1,0,5,2,1,-1,0,3,5
238,1,0,0,1,0,66,1,0,5,1,1,-1,0,3,5
239,3,1,0,0,0,-9,1,1,5,3,1,-1,0,3,5
240,1,9,1,1,0,349,1,1,5,0,1,-1,0,3,5
241,1,2,1,3,0,100,1,0,5,3,1,-1,0,3,5
242,0,0,1,1,0,0,0,0,5,0,1,-1,0,3,5
243,1,9,1,1,0,434,1,0,5,0,1,-1,0,3,5
244,3,4,1,2,0,3237,1,0,5,1,3,-1,0,3,5
245,1,4,1,3,0,275,0,0,5,3,2,-1,0,3,5
246,2,1,2,1,0,0,1,0,5,0,2,-1,0,3,5
247,1,4,1,2,0,207,1,0,5,2,1,-1,0,3,5
248,1,1,1,1,0,483,1,0,5,1,1,-1,0,3,5
249,3,7,1,1,0,2248,1,0,5,3,2,-1,0,3,5
250,3,0,1,1,0,428,1,0,5,2,1,-1,0,3,5
251,3,1,1,1,0,0,1,1,5,1,1,-1,0,3,5
252,0,7,2,1,0,0,1,0,5,0,1,-1,0,3,5
253,0,9,0,1,0,140,1,0,5,1,1,-1,0,3,5
254,3,4,2,2,0,297,1,0,5,0,1,-1,0,3,5
255,1,1,1,0,0,279,1,0,5,3,1,-1,0,3,5
256,3,2,0,1,0,901,1,0,5,2,3,-1,0,3,5
257,0,9,2,1,0,2573,1,0,5,2,2,-1,0,3,5
258,0,7,1,1,0,143,1,1,5,3,1,-1,0,3,5
259,1,1,1,1,0,475,1,0,5,3,2,-1,0,3,5
260,3,1,1,1,0,70,1,0,5,3,2,-1,0,3,5
261,0,4,2,2,0,318,1,0,5,0,2,-1,0,3,5
262,0,9,1,1,0,275,1,0,5,0,1,-1,0,3,5
263,1,4,0,2,0,742,1,0,5,2,3,-1,0,3,5
264,1,2,1,0,0,236,1,0,5,0,1,-1,0,3,5
265,0,8,2,2,0,25,1,0,5,2,2,-1,0,3,5
266,0,4,2,2,0,600,1,0,5,0,1,-1,0,3,5
267,1,0,0,1,0,-349,1,0,5,3,2,-1,0,3,5
268,1,1,1,0,0,183,1,1,5,0,2,-1,0,3,5
269,1,1,1,0,0,0,1,0,5,3,1,-1,0,3,5
270,1,4,2,2,0,0,1,1,5,3,2,-1,0,3,5
271,1,1,0,0,0,0,1,0,5,3,1,-1,0,3,5
272,3,9,1,1,0,1078,1,0,5,2,4,-1,0,3,5
273,3,2,0,1,0,155,0,0,5,0,3,-1,0,3,5
274,0,0,1,1,0,190,1,0,5,2,2,-1,0,3,5
275,3,5,1,1,0,319,1,0,5,0,3,-1,0,3,5
276,1,7,0,1,0,-185,1,0,5,1,3,-1,0,3,5
277,3,7,1,1,0,47,0,0,5,1,2,-1,0,3,5
278,0,7,2,1,0,570,1,0,5,2,2,-1,0,3,5
279,0,6,1,2,0,19,0,0,5,1,2,-1,0,3,5
280,3,1,1,0,0,61,1,0,5,3,3,-1,0,3,5
281,1,0,1,1,0,-62,1,1,5,2,2,-1,0,3,5
282,3,9,1,2,0,258,0,0,5,1,4,-1,0,3,5
283,3,1,1,0,0,76,1,0,5,0,2,-1,0,3,5
284,0,1,2,1,0,0,1,0,5,2,2,-1,0,3,5
285,0,0,2,1,0,352,1,0,5,1,2,-1,0,3,5
286,1,0,1,1,0,368,1,0,5,0,2,-1,0,3,5
287,3,9,2,2,0,339,1,0,5,2,3,-1,0,3,5
288,0,1,1,1,0,1331,1,0,5,1,2,-1,0,3,5
289,1,6,1,1,0,672,1,0,5,0,2,-1,0,3,5
290,0,4,1,2,0,58,1,0,5,2,2,-1,0,3,5
291,3,9,2,3,0,447,1,0,5,3,2,-1,0,3,5
292,2,8,2,1,0,423,1,0,5,1,3,-1,0,3,5
293,3,4,1,2,0,0,0,0,5,0,2,-1,0,3,5
294,0,9,1,1,0,19,1,0,5,3,4,-1,0,3,5
295,3,9,0,0,0,13,1,0,5,3,2,-1,0,3,5
296,0,1,2,1,0,3,1,0,5,1,2,-1,0,3,5
297,2,8,2,1,0,82,1,0,5,1,2,-1,0,3,5
298,1,1,0,0,0,28,1,0,5,0,3,-1,0,3,5
299,3,9,1,1,0,792,1,0,5,2,2,-1,0,3,5
300,1,1,1,3,0,408,1,0,5,0,2,-1,0,3,5
301,3,0,1,1,0,531,1,0,5,1,2,-1,0,3,5
302,3,5,1,1,0,211,1,0,5,1,2,-1,0,3,5
303,0,7,2,1,0,62,1,0,5,1,2,-1,0,3,5
304,3,7,1,3,0,257,1,0,5,1,2,-1,0,3,5
305,3,9,1,1,0,1234,1,0,5,1,2,-1,0,3,5
306,3,4,1,2,0,313,1,0,5,2,2,-1,0,3,5
307,3,1,1,1,0,89,1,0,5,0,3,-1,0,3,5
308,1,1,1,1,0,129,1,1,5,1,2,-1,0,3,5
309,1,4,1,3,0,0,1,0,5,0,2,-1,0,3,5
310,3,0,1,1,0,353,1,0,5,0,2,-1,0,3,5
311,3,9,1,3,0,851,1,0,5,0,2,-1,0,3,5
312,3,7,0,0,0,96,1,1,5,1,2,-1,0,3,5
313,0,7,0,1,0,398,1,1,5,1,2,-1,0,3,5
314,0,0,2,2,0,193,0,0,5,0,2,-1,0,3,5
315,1,0,1,1,0,-358,1,0,5,3,2,-1,0,3,5
316,0,1,1,1,0,539,1,1,5,3,2,-1,0,3,5
317,3,9,2,1,0,0,1,0,5,3,2,-1,0,3,5
318,1,5,2,0,0,0,0,0,5,0,2,-1,0,3,5
319,1,1,1,1,0,490,1,0,5,3,2,-1,0,3,5
320,3,1,1,1,0,0,1,0,5,0,2,-1,0,3,5
321,3,1,1,3,0,403,1,0,5,1,2,-1,0,3,5
322,1,4,1,1,0,161,1,0,5,1,3,-1,0,3,5
323,0,9,0,2,0,2558,0,0,5,0,2,-1,0,3,5
324,0,0,2,1,0,98,1,0,5,1,2,-1,0,3,5
325,3,4,2,2,0,115,0,0,5,0,4,-1,0,3,5
326,1,1,2,1,0,436,1,0,5,1,3,-1,0,3,5
327,1,9,1,2,0,831,1,0,5,1,3,-1,0,3,5
328,3,9,1,3,0,206,1,0,5,1,3,-1,0,3,5
329,1,1,1,1,0,290,1,0,5,1,2,-1,0,3,5
330,1,1,1,1,0,1,0,0,5,3,3,-1,0,3,5
331,1,1,1,3,0,57,1,0,5,3,2,-1,0,3,5
332,0,1,2,1,0,-457,1,0,5,0,2,-1,0,3,5
333,3,4,2,2,0,1387,1,0,5,0,5,-1,0,3,5
334,1,4,0,2,0,24598,1,0,5,1,3,-1,0,3,5
335,3,1,1,1,0,30,1,0,5,0,4,-1,0,3,5
336,1,0,2,1,0,1022,1,0,5,0,2,-1,0,3,5
337,3,9,1,1,0,56,1,1,5,0,2,-1,0,3,5
338,3,0,2,1,1,-2,0,0,5,3,3,-1,0,3,5
339,0,7,2,1,0,121,1,0,5,1,2,-1,0,3,5
340,1,1,2,1,0,842,1,0,5,0,3,-1,0,3,5
341,1,4,0,1,0,693,1,0,5,0,3,-1,0,3,5
342,1,1,0,1,0,-333,1,0,5,1,2,-1,0,3,5
343,3,1,1,0,0,1533,1,0,5,3,2,-1,0,3,5
344,0,4,1,2,0,46,1,0,5,2,4,-1,0,3,5
345,3,7,1,3,0,18,0,0,5,3,2,-1,0,3,5
346,1,9,1,1,0,44,1,0,5,2,4,-1,0,3,5
347,1,1,1,0,0,-100,1,0,5,3,2,-1,0,3,5
348,1,7,1,2,0,510,1,0,5,3,4,-1,0,3,5
349,3,4,1,2,0,685,1,0,5,0,3,-1,0,3,5
350,1,4,2,2,0,187,1,0,5,0,2,-1,0,3,5
351,1,1,1,1,0,66,1,0,5,3,2,-1,0,3,5
352,0,0,1,1,0,560,1,0,5,1,3,-1,0,3,5
353,0,1,1,1,0,0,1,0,5,1,2,-1,0,3,5
354,3,11,0,3,0,27,0,0,5,3,3,-1,0,3,5
355,0,0,2,1,0,12,1,0,5,1,2,-1,0,3,5
356,1,1,2,1,0,34,1,0,5,3,4,-1,0,3,5
357,0,2,2,2,0,1068,1,0,5,3,2,-1,0,3,5
358,1,1,1,1,0,211,1,0,5,1,4,-1,0,3,5
359,1,0,2,2,0,377,1,0,5,2,2,-1,0,3,5
360,1,4,1,2,0,263,1,0,5,3,2,-1,0,3,5
361,1,7,1,1,0,1263,1,0,6,0,2,-1,0,3,5
362,2,7,1,1,0,8,1,0,6,2,3,-1,0,3,5
363,1,0,1,1,0,126,1,1,6,3,2,-1,0,3,5
364,3,0,1,1,0,230,1,0,6,1,3,-1,0,3,5
365,1,9,1,2,0,841,1,0,6,0,1,-1,0,3,5
366,0,0,0,1,0,308,1,0,6,2,1,-1,0,3,5
367,1,4,0,2,0,1,1,0,6,1,1,-1,0,3,5
368,0,0,0,2,0,86,1,0,6,1,1,-1,0,3,5
369,2,8,2,1,0,157,1,0,6,2,1,-1,0,3,5
370,0,7,1,1,0,22,1,0,6,3,1,-1,0,3,5
371,0,0,1,1,0,46,1,1,6,1,1,-1,0,3,5
372,0,1,1,1,0,1293,0,0,6,3,1,-1,0,3,5
373,2,0,2,1,0,122,1,0,6,1,1,-1,0,3,5
374,1,1,1,3,0,131,1,0,6,1,1,-1,0,3,5
375,3,1,2,1,0,143,1,0,6,2,1,-1,0,3,5
376,0,0,2,1,0,393,0,0,6,1,2,-1,0,3,5
377,1,1,1,0,0,98,1,0,6,1,1,-1,0,3,5
378,0,4,1,2,0,0,1,0,6,1,1,-1,0,3,5
379,3,1,1,1,0,224,1,0,6,1,1,-1,0,3,5
380,0,1,1,1,0,757,1,0,6,0,1,-1,0,3,5
381,3,7,1,1,0,245,1,1,6,1,1,-1,0,3,5
382,1,4,1,1,0,8486,0,0,6,1,3,-1,0,3,5
383,1,0,1,3,0,350,0,0,6,3,1,-1,0,3,5
384,0,1,1,1,0,20,1,0,6,3,1,-1,0,3,5
385,3,7,1,1,0,1667,1,1,6,2,1,-1,0,3,5
386,3,9,1,3,0,345,1,0,6,0,1,-1,0,3,5
387,0,10,1,1,0,10,1,0,6,3,4,-1,0,3,5
388,3,4,1,2,0,830,1,1,6,3,1,-1,0,3,5
389,3,1,0,3,0,29,1,0,6,1,1,-1,0,3,5
390,3,5,0,1,0,545,1,0,6,3,1,-1,0,3,5
391,0,9,1,2,0,8730,1,0,6,0,1,-1,0,3,5
392,1,9,0,2,0,477,1,0,6,0,1,-1,0,3,5
393,2,0,1,1,0,4,1,0,6,1,1,-1,0,3,5
394,1,1,1,1,0,1205,1,0,6,3,2,-1,0,3,5
395,0,9,2,1,0,0,1,1,6,0,3,-1,0,3,5
396,1,0,2,1,0,263,1,0,6,1,1,-1,0,3,5
397,0,0,1,1,0,1,0,0,6,2,1,-1,0,3,5
398,0,1,1,1,0,283,0,1,6,1,1,-1,0,3,5
399,1,1,1,0,0,206,1,0,6,0,1,-1,0,3,5
400,1,3,1,0,0,17,1,0,6,0,1,-1,0,3,5
401,1,9,1,1,0,141,1,1,6,3,1,-1,0,3,5
402,0,6,2,2,0,16,1,0,6,2,1,-1,0,3,5
403,3,7,1,1,0,206,1,0,6,0,1,-1,0,3,5
404,3,9,1,3,0,7,0,0,6,1,2,-1,0,3,5
405,3,4,1,2,0,0,0,0,6,3,1,-1,0,3,5
406,3,5,1,2,0,0,0,0,6,3,1,-1,0,3,5
407,1,1,0,0,0,1927,1,0,6,1,3,-1,0,3,5
408,0,9,1,1,0,284,1,0,6,3,1,-1,0,3,5
409,1,1,1,1,0,1660,1,0,6,1,1,-1,0,3,5
410,0,7,2,1,0,406,1,0,6,1,1,-1,0,3,5
411,3,1,1,0,0,230,1,0,6,3,1,-1,0,3,5
412,1,0,2,1,0,-25,1,0,6,3,1,-1,0,3,5
413,1,0,1,1,0,182,1,0,6,0,2,-1,0,3,5
414,0,2,1,2,0,1169,1,0,6,0,2,-1,0,3,5
415,0,0,0,1,0,67,1,0,6,2,1,-1,0,3,5
416,1,9,1,1,0,77,0,0,6,3,1,-1,0,3,5
417,1,10,1,1,0,0,1,0,6,1,1,-1,0,3,5
